HHID  1 - 6
PN  7 - 9
WSUBHH  10 - 10
LSUBHH  11 - 11
WPN_SP  12 - 14
WC018  15 - 15
WC019  16 - 16
WC020  17 - 17
WC232U1  18 - 18
WC021M1  19 - 19
WC021M2  20 - 20
WC021M3  21 - 21
WC021M4  22 - 22
WC021M5  23 - 23
WC028  24 - 27
WC029  28 - 29
WC030  30 - 30
WC033  31 - 31
WC036  32 - 32
WC037  33 - 33
WC038  34 - 34
WC257  35 - 35
WC258  36 - 39
WC259  40 - 41
WC040  42 - 42
WC043  43 - 46
WC044  47 - 48
WC260  49 - 49
WC261  50 - 53
WC262  54 - 55
WC263  56 - 56
WC264  57 - 60
WC265  61 - 62
WC048  63 - 63
WC266  64 - 64
WC267  65 - 68
WC268  69 - 70
WC269  71 - 71
WC270M1  72 - 72
WC270M2  73 - 73
WC051  74 - 74
WC052  75 - 75
WC053  76 - 76
WC062  77 - 77
WC064  78 - 81
WC063  82 - 83
WC193  84 - 84
WC194  85 - 87
WC195  88 - 88
WC196  89 - 89
WC069  90 - 90
WC209M1M  91 - 91
WC209M2M  92 - 92
WC210  93 - 93
WC197  94 - 94
WC079  95 - 95
WC080  96 - 97
WC081  98 - 98
WC082  99 - 99
WC104  100 - 100
WC105  101 - 101
WC107  102 - 102
WC108M1M  103 - 105
WC108M2M  106 - 108
WC117  109 - 109
WC118  110 - 112
WC119  113 - 113
WC128  114 - 114
WC139  115 - 117
WC140  118 - 118
WC198  119 - 119
WC199  120 - 120
WC200  121 - 121
WC201  122 - 122
WC202  123 - 123
WC203  124 - 124
WC204  125 - 125
WC205  126 - 126
WC206  127 - 127
WC207  128 - 128
WC208  129 - 129
WVDATE  130 - 130
WVERSION  131 - 131
