HHID  1 - 6
HFINR  491 - 491
HINSAMP  492 - 492
HIWLANG  493 - 493
HIWMODE  494 - 494
HIWMONTH  495 - 496
HIWTYPE  497 - 498
HIWWAVE  499 - 499
HIWYEAR  500 - 503
HLIVARR  504 - 504
HNEWSP  505 - 505
HNURSHM  506 - 506
HPPN  507 - 509
HPROXY  510 - 511
HRESCODE  512 - 515
HSUBHH  516 - 516
HSUBHHIW  517 - 517
HWGTHH  518 - 522
HWGTR  523 - 527
HWGTRNH  528 - 532
HWHY0WGT  533 - 533
JAGE  534 - 536
JALIVE  537 - 537
JCOUPID  538 - 543
JCOUPLE  544 - 544
JFAMR  545 - 545
JFINR  546 - 546
JINSAMP  547 - 547
JIWLANG  548 - 548
JIWMODE  549 - 549
JIWMONTH  550 - 551
JIWTYPE  552 - 553
JIWWAVE  554 - 554
JIWYEAR  555 - 558
JLIVARR  559 - 559
JMARST  560 - 560
JNEWSP  561 - 561
JNURSHM  562 - 562
JPENFLAG  563 - 563
JPMSELWT  564 - 572
JPMWGTR  573 - 580
JPPN  581 - 583
JPROXY  584 - 585
JRESCODE  586 - 589
JSUBHH  590 - 590
JSUBHHIW  591 - 591
JWGTHH  592 - 598
JWGTR  599 - 605
JWGTR_DB  606 - 613
JWGTR_PS  614 - 621
JWHY0HWT  622 - 622
JWHY0RWT  623 - 623
JWGTRNH  624 - 628
KAGE  629 - 631
KALIVE  632 - 632
KBIOWGTR  633 - 639
KCOUPID  640 - 645
KCOUPLE  646 - 646
KFAMR  647 - 647
KFINR  648 - 648
KINSAMP  649 - 649
KIWLANG  650 - 650
KIWMODE  651 - 651
KIWMONTH  652 - 653
KIWTYPE  654 - 655
KIWWAVE  656 - 656
KIWYEAR  657 - 660
KLBWGTR  661 - 667
KLIVARR  668 - 668
KMARST  669 - 669
KNEWSP  670 - 670
KNURSHM  671 - 671
KPMWGTR  672 - 678
KPPN  679 - 681
KPROXY  682 - 683
KRESCODE  684 - 687
KSUBHH  688 - 688
KSUBHHIW  689 - 689
KWGTHH  690 - 696
KWGTR  697 - 703
KWHY0HWT  704 - 704
KWHY0RWT  705 - 705
KWGTRNH  706 - 710
LAGE  711 - 713
LALIVE  714 - 714
LBIOWGTR  715 - 721
LCOUPID  722 - 727
LCOUPLE  728 - 728
LFAMR  729 - 729
LFINR  730 - 730
LINSAMP  731 - 731
LIWLANG  732 - 732
LIWMODE  733 - 733
LIWMONTH  734 - 735
LIWTYPE  736 - 737
LIWWAVE  738 - 738
LIWYEAR  739 - 742
LLBWGTR  743 - 749
LLIVARR  750 - 750
LMARST  751 - 751
LNEWSP  752 - 752
LNURSHM  753 - 753
LPMWGTR  754 - 760
LPPN  761 - 763
LPROXY  764 - 765
LRESCODE  766 - 769
LSUBHH  770 - 770
LSUBHHIW  771 - 771
LWGTHH  772 - 778
LWGTR  779 - 785
LWHY0HWT  786 - 786
LWHY0RWT  787 - 787
LWGTRNH  788 - 792
MAGE  793 - 795
MALIVE  796 - 796
MBIOWGTR  797 - 801
MCOUPID  802 - 807
MCOUPLE  808 - 808
MFAMR  809 - 809
MFINR  810 - 810
MINSAMP  811 - 811
MIWLANG  812 - 812
MIWMODE  813 - 813
MIWMONTH  814 - 815
MIWTYPE  816 - 817
MIWWAVE  818 - 818
MIWYEAR  819 - 822
MLBWGTR  823 - 829
MLIVARR  830 - 830
MMARST  831 - 831
MNEWSP  832 - 832
MNURSHM  833 - 833
MPMWGTR  834 - 840
MPPN  841 - 843
MPROXY  844 - 845
MRESCODE  846 - 849
MSUBHH  850 - 850
MSUBHHIW  851 - 851
MWGTHH  852 - 858
MWGTR  859 - 865
MWHY0HWT  866 - 866
MWHY0RWT  867 - 867
MWGTRNH  868 - 874
NAGE  875 - 877
NALIVE  878 - 878
NBIOWGTR  879 - 885
NCOUPID  886 - 891
NCOUPLE  892 - 892
NFAMR  893 - 893
NFINR  894 - 894
NINSAMP  895 - 895
NIWLANG  896 - 896
NIWMODE  897 - 897
NIWMONTH  898 - 899
NIWTYPE  900 - 901
NIWWAVE  902 - 902
NIWYEAR  903 - 906
NLBWGTR  907 - 913
NLIVARR  914 - 914
NMARST  915 - 915
NNEWSP  916 - 916
NNURSHM  917 - 917
NPMWGTR  918 - 922
NPPN  923 - 925
NPROXY  926 - 927
NRESCODE  928 - 931
NSUBHH  932 - 932
NSUBHHIW  933 - 933
NWGTHH  934 - 940
NWGTR  941 - 947
NWHY0HWT  948 - 948
NWHY0RWT  949 - 949
NWGTRNH  950 - 956
OAGE  957 - 959
OALIVE  960 - 960
OBIOWGTR  961 - 965
OCOUPID  966 - 971
OCOUPLE  972 - 972
OFAMR  973 - 973
OFINR  974 - 974
OINSAMP  975 - 975
OIWLANG  976 - 976
OIWMODE  977 - 977
OIWMONTH  978 - 979
OIWTYPE  980 - 981
OIWWAVE  982 - 982
OIWYEAR  983 - 986
OLBWGTR  987 - 991
OLIVARR  992 - 992
OMARST  993 - 993
ONEWSP  994 - 994
ONURSHM  995 - 995
OPMWGTR  996 - 1000
OPPN  1001 - 1003
