HHID  1 - 6
PN  7 - 9
ZSUBHH  10 - 10
OSUBHH  11 - 11
ZPN_SP  12 - 14
ZC018  15 - 15
ZC019  16 - 16
ZC020  17 - 17
ZC232U1  18 - 18
ZC021M1  19 - 20
ZC021M2  21 - 22
ZC021M3  23 - 24
ZC021M4  25 - 26
ZC021M5  27 - 28
ZC021M6  29 - 30
ZC021M7  31 - 32
ZC028  33 - 36
ZC029  37 - 38
ZC030  39 - 39
ZC033  40 - 40
ZC036  41 - 41
ZC037  42 - 42
ZC038  43 - 43
ZC257  44 - 44
ZC258  45 - 48
ZC259  49 - 50
ZC040  51 - 51
ZC043  52 - 55
ZC044  56 - 57
ZC260  58 - 58
ZC261  59 - 62
ZC263  63 - 63
ZC264  64 - 67
ZC048  68 - 68
ZC266  69 - 69
ZC267  70 - 73
ZC269  74 - 74
ZC282  75 - 75
ZC270M1  76 - 77
ZC270M2  78 - 79
ZC051  80 - 80
ZC052  81 - 81
ZC053  82 - 82
ZC062  83 - 83
ZC064  84 - 87
ZC063  88 - 89
ZC193  90 - 90
ZC194  91 - 93
ZC195  94 - 94
ZC196  95 - 95
ZC069  96 - 96
ZC209M1M  97 - 98
ZC209M2M  99 - 100
ZC197  101 - 101
ZC079  102 - 102
ZC080  103 - 104
ZC081  105 - 105
ZC082  106 - 106
ZC104  107 - 107
ZC105  108 - 108
ZC107  109 - 109
ZC108M1M  110 - 112
ZC108M2M  113 - 115
ZC117  116 - 116
ZC118  117 - 118
ZC119  119 - 119
ZC128  120 - 120
ZC139  121 - 123
ZC140  124 - 124
ZC198  125 - 125
ZC199  126 - 126
ZC200  127 - 127
ZC201  128 - 128
ZC202  129 - 129
ZC203  130 - 130
ZC204  131 - 131
ZC205  132 - 132
ZC206  133 - 133
ZC207  134 - 134
ZC208  135 - 135
ZVDATE  136 - 137
ZVERSION  138 - 138
