HHID  1 - 6
MN369M1  591 - 591
MN369M2  592 - 592
MN369M3  593 - 593
MN369M4  594 - 594
MN184  595 - 595
MN186  596 - 597
MN188  598 - 598
MN189  599 - 599
MN190  600 - 600
MN194  601 - 606
MN195  607 - 611
MN196  612 - 619
MN197  620 - 621
MN198  622 - 622
MN202  623 - 623
MN203  624 - 624
MN239  625 - 631
MN246  632 - 636
MN247  637 - 644
MN248  645 - 646
MN332  647 - 647
MN333  648 - 653
MN334  654 - 658
MN335  659 - 666
MN336  667 - 668
MN204  669 - 673
MN205  674 - 679
MN206  680 - 684
MN207  685 - 689
MN208  690 - 694
MN209  695 - 698
MN210  699 - 703
MN064  704 - 708
MN211  709 - 714
MN212  715 - 715
MN213  716 - 716
MN214M1  717 - 719
MN214M2  720 - 722
MN214M3  723 - 725
MN214M4  726 - 728
MN214M5  729 - 731
MN214M6  732 - 734
MN214M7  735 - 737
MN214M8  738 - 740
MN215  741 - 747
MN216  748 - 752
MN217  753 - 760
MN218  761 - 762
MN219M1  763 - 763
MN219M2  764 - 764
MN219M3  765 - 765
MN219M4  766 - 766
MN219M5  767 - 767
MN226  768 - 768
MN231  769 - 769
MN235  770 - 770
MN236  771 - 771
MVDATE  772 - 772
MVERSION  773 - 775
