HHID  1 - 6
PN  7 - 9
KSUBHH  10 - 10
JSUBHH  11 - 11
KPN_SP  12 - 14
KCSR  15 - 15
KFAMR  16 - 16
KFINR  17 - 17
KEFTFASSIGN  18 - 18
KNURSHM  19 - 19
KPMELIG  20 - 20
KI800  21 - 21
KI802  22 - 22
KI854  23 - 23
KI855M1  24 - 25
KI855M2  26 - 27
KI855M3  28 - 29
KI855M4  30 - 31
KI857  32 - 39
KI859  40 - 43
KI860  44 - 46
KI861  47 - 49
KI862  50 - 57
KI864  58 - 61
KI865  62 - 64
KI866  65 - 67
KI867  68 - 75
KI869  76 - 79
KI870  80 - 82
KI871  83 - 85
KFLAG_BP  86 - 86
KFLAG_PULSE  87 - 87
KI872  88 - 88
KI873  89 - 89
KI874  90 - 90
KI875  91 - 91
KI804  92 - 92
KI805M1  93 - 94
KI805M2  95 - 96
KI805M3  97 - 98
KI805M4  99 - 100
KI807  101 - 104
KI808  105 - 108
KI809  109 - 112
KFLAG_PUFF  113 - 113
KI810  114 - 114
KI811  115 - 115
KI812  116 - 116
KI813M1  117 - 118
KI813M2  119 - 120
KI813M3  121 - 122
KI813M4  123 - 124
KI813M5  125 - 126
KI815  127 - 127
KI816  128 - 135
KI851  136 - 143
KI852  144 - 151
KI853  152 - 159
KFLAG_LGRIP  160 - 160
KFLAG_RGRIP  161 - 161
KI817  162 - 162
KI818  163 - 163
KI819  164 - 164
KI876  165 - 165
KI877M1  166 - 167
KI877M2  168 - 169
KI877M3  170 - 171
KI877M4  172 - 173
KI877M5  174 - 175
KI879  176 - 179
KI880  180 - 189
KI881  190 - 190
KI883  191 - 191
KI884M1  192 - 193
KI884M2  194 - 195
KI884M3  196 - 197
KI884M4  198 - 199
KI884M5  200 - 201
KI884M6  202 - 203
KI886  204 - 207
KI887  208 - 217
KI888  218 - 218
KI889  219 - 219
KI891  220 - 220
KI893  221 - 221
KI894M1  222 - 223
KI894M2  224 - 225
KI894M3  226 - 227
KI894M4  228 - 229
KI894M5  230 - 231
KI896  232 - 235
KI897  236 - 245
KI898  246 - 246
KI899  247 - 247
KI902  248 - 248
KI820  249 - 249
KI821M1  250 - 251
KI821M2  252 - 253
KI821M3  254 - 255
KI821M4  256 - 257
KI821M5  258 - 259
KI823  260 - 269
KI824  270 - 279
KFLAG_WALK  280 - 280
KI825  281 - 281
KI828  282 - 282
KI830  283 - 283
KI831  284 - 284
KI832M1  285 - 286
KI832M2  287 - 288
KI832M3  289 - 290
KI832M4  291 - 292
KI832M5  293 - 294
KI834  295 - 302
KFLAG_HEIGHT  303 - 303
KI835  304 - 304
KI837  305 - 305
KI903  306 - 306
KI838  307 - 307
KI839M1  308 - 309
KI839M2  310 - 311
KI839M3  312 - 313
KI839M4  314 - 315
KI839M5  316 - 317
KI841  318 - 326
KFLAG_WEIGHT  327 - 327
KI842  328 - 328
KI844  329 - 329
KI947  330 - 330
KI904  331 - 331
KI905M1  332 - 333
KI905M2  334 - 335
KI905M3  336 - 337
KI905M4  338 - 339
KI907  340 - 348
KFLAG_WAIST  349 - 349
KI908  350 - 351
KI910  352 - 352
KI911  353 - 353
KI912  354 - 354
KI913  355 - 355
KI941M1  356 - 357
KI941M2  358 - 359
KI941M3  360 - 361
KI941M4  362 - 363
KI941M5  364 - 365
KI914  366 - 366
KI915  367 - 367
KI916M1  368 - 369
KI916M2  370 - 371
KI916M3  372 - 373
KI916M4  374 - 375
KI918  376 - 376
KI919M1  377 - 378
KI919M2  379 - 380
KI919M3  381 - 382
KI921  383 - 383
KI922  384 - 384
KI943M1  385 - 386
KI943M2  387 - 388
KI943M3  389 - 390
KI943M4  391 - 392
KI943M5  393 - 394
KI943M6  395 - 396
KI923  397 - 397
KI924M1  398 - 399
KI924M2  400 - 401
KI924M3  402 - 403
KI924M4  404 - 405
KI924M5  406 - 407
KI926M1  408 - 409
KI926M2  410 - 411
KI926M3  412 - 413
KI928  414 - 414
KI929  415 - 415
KI945  416 - 416
KI930  417 - 417
KI931  418 - 418
KVDATE  419 - 419
KVERSION  420 - 420
