HHID  1 - 6
PN  7 - 9
VSUBHH  10 - 10
KSUBHH  11 - 11
VPN_SP  12 - 14
VC018  15 - 15
VC019  16 - 16
VC020  17 - 17
VC021M1  18 - 18
VC021M2  19 - 19
VC021M3  20 - 20
VC021M4  21 - 21
VC021M5  22 - 22
VC028  23 - 26
VC029  27 - 28
VC232U1  29 - 38
VC030  39 - 39
VC033  40 - 40
VC036  41 - 41
VC037  42 - 42
VC038  43 - 43
VC040  44 - 44
VC043  45 - 48
VC044  49 - 50
VC048  51 - 51
VC051  52 - 52
VC052  53 - 53
VC053  54 - 54
VC062  55 - 55
VC064  56 - 59
VC063  60 - 61
VC193  62 - 62
VC194  63 - 65
VC195  66 - 66
VC196  67 - 67
VC069  68 - 68
VC210  69 - 69
VC197  70 - 70
VC079  71 - 71
VC080  72 - 73
VC081  74 - 74
VC082  75 - 75
VC104  76 - 76
VC105  77 - 77
VC107  78 - 78
VC108M1M  79 - 81
VC108M2M  82 - 84
VC117  85 - 85
VC118  86 - 88
VC119  89 - 89
VC128  90 - 90
VC139  91 - 93
VC140  94 - 94
VC198  95 - 95
VC199  96 - 96
VC200  97 - 97
VC201  98 - 98
VC202  99 - 99
VC203  100 - 100
VC204  101 - 101
VC205  102 - 102
VC206  103 - 103
VC207  104 - 104
VC208  105 - 105
VC209M1M  106 - 106
VC209M2M  107 - 107
VVDATE  108 - 108
VVERSION  109 - 109
