HHID  1 - 6
PN  7 - 9
XSUBHH  10 - 10
MSUBHH  11 - 11
XPN_SP  12 - 14
XC018  15 - 15
XC019  16 - 16
XC020  17 - 17
XC232U1  18 - 18
XC021M1  19 - 20
XC021M2  21 - 22
XC021M3  23 - 24
XC021M4  25 - 26
XC021M5  27 - 28
XC021M6  29 - 30
XC028  31 - 34
XC029  35 - 36
XC030  37 - 37
XC033  38 - 38
XC036  39 - 39
XC037  40 - 40
XC038  41 - 41
XC257  42 - 42
XC258  43 - 46
XC259  47 - 48
XC040  49 - 49
XC043  50 - 53
XC044  54 - 55
XC260  56 - 56
XC261  57 - 60
XC262  61 - 62
XC263  63 - 63
XC264  64 - 67
XC265  68 - 69
XC048  70 - 70
XC266  71 - 71
XC267  72 - 75
XC268  76 - 77
XC269  78 - 78
XC282  79 - 79
XC270M1  80 - 81
XC270M2  82 - 83
XC051  84 - 84
XC052  85 - 85
XC053  86 - 86
XC062  87 - 87
XC064  88 - 91
XC063  92 - 93
XC193  94 - 94
XC194  95 - 97
XC195  98 - 98
XC196  99 - 99
XC069  100 - 100
XC209M1M  101 - 101
XC209M2M  102 - 102
XC197  103 - 103
XC079  104 - 104
XC080  105 - 106
XC081  107 - 107
XC082  108 - 108
XC104  109 - 109
XC105  110 - 110
XC107  111 - 111
XC108M1M  112 - 114
XC108M2M  115 - 117
XC117  118 - 118
XC118  119 - 121
XC119  122 - 122
XC128  123 - 123
XC139  124 - 126
XC140  127 - 127
XC198  128 - 128
XC199  129 - 129
XC200  130 - 130
XC201  131 - 131
XC202  132 - 132
XC203  133 - 133
XC204  134 - 134
XC205  135 - 135
XC206  136 - 136
XC207  137 - 137
XC208  138 - 138
XVDATE  139 - 139
XVERSION  140 - 140
